file_offset,source_jp,vi_ui,vi_runtime_v2,status,notes
0x2B7C9,"メロディーありでスタート","Chơi có nhạc","Có nhạc",runtime_candidate,"Option screen can omit repeated Start/Chơi if both choices share context"
0x2B7EF,"メロディーなしでスタート","Chơi không nhạc","Không nhạc",runtime_candidate_needs_fit_check,"Prefer full 'Không nhạc'; do not degrade to Ko nhạc"
0x31CFB,"スタートをおしてね","Bấm START nhé","Bấm START",runtime_candidate,"Compact instruction"
0x3153A,"第  問","Câu","Câu",runtime_candidate_dynamic,"Dynamic number follows"
0x31547,"第    問","Câu","Câu",runtime_candidate_dynamic,"Second layout variant"
0x31C73,"もんだい数              問","Tổng câu","Tổng câu",runtime_candidate_dynamic,"Dynamic count follows"
0x31C94,"こたえた回数            回","Lượt trả lời","Lượt",runtime_candidate_dynamic,"Compact stats label"
0x31CB5,"せいかいりつ            ％","Tỷ lệ đúng","Đúng %",runtime_candidate_dynamic,"Dynamic percentage follows"
0x31CD8,"一発で正解したのは      回","Đúng lần đầu","Lần đầu",runtime_candidate_dynamic,"Dynamic count follows"
0x28924,"しゃがむ","Cúi","Cúi",runtime_candidate,"Control label"
0x28932,"移動","Đi","Đi",runtime_candidate,"Control label"
0x2893C,"ボールを","Ném","Ném",runtime_candidate_paired,"Top line of Ném / bóng"
0x2894A,"なげる","bóng","bóng",runtime_candidate_paired,"Bottom line of Ném / bóng"
0x289DE,"ドライヤー","Sấy","Sấy",runtime_candidate,"Dryer action compacted to verb"
0x289EE,"移動","Đi","Đi",runtime_candidate,"Control label"
0x289F8,"おしている間","Giữ nút","Giữ",runtime_candidate_paired,"Top line; exact layout must be verified"
0x28A0A,"ペンキをぬる","Sơn","Sơn",runtime_candidate_paired,"Bottom line"
0x28A70,"投げる","Ném","Ném",runtime_candidate,"Control label"
0x28A7C,"移動","Đi","Đi",runtime_candidate,"Control label"
0x28A86,"体当り","Húc","Húc",runtime_candidate,"Control label"
0x28BD2,"パッド","Tay cầm","Tay",runtime_candidate,"Only if fixed field cannot expand"
0x28BDE,"マウス","Chuột","Chuột",runtime_candidate_needs_expansion,"Keep full Vietnamese if field expansion/layout allows"
0x28BEA,"スコープ","Super Scope","SS",runtime_candidate_abbrev,"Temporary hardware abbreviation only under strict fixed field"
