file_offset,source_jp,vi_full,vi_runtime_v1,max_units,status,notes
0x28A86,"体当り","Húc","Húc",3,runtime_candidate_exact_fit,"3 Vietnamese code units; concise control label"
0x28A94,"何本先取？","Thắng mấy ván?","Ván?",5,runtime_candidate_exact_fit,"Options below supply 1-5; compact question remains understandable"
0x28AA4,"コンピュータの","Độ khó","Độ khó",7,runtime_candidate_exact_fit,"Paired heading line 1"
0x28AB8,"つよさ","CPU","CPU",3,runtime_candidate_exact_fit,"Paired heading line 2; combined display Độ khó / CPU"
0x28AC4,"１ゲームの時間","Thời gian / ván","Mỗi ván",7,runtime_candidate_exact_fit,"Exact 7-unit compact setting heading"
0x28AD6,"１本","1 ván","1",2,runtime_candidate_exact_fit,"Numeric option under Ván? heading"
0x28ADE,"２本","2 ván","2",2,runtime_candidate_exact_fit,"Numeric option under Ván? heading"
0x28AE6,"３本","3 ván","3",2,runtime_candidate_exact_fit,"Numeric option under Ván? heading"
0x28AEE,"４本","4 ván","4",2,runtime_candidate_exact_fit,"Numeric option under Ván? heading"
0x28AF6,"５本","5 ván","5",2,runtime_candidate_exact_fit,"Numeric option under Ván? heading"
0x28AFE,"よわい","Dễ","Dễ",3,runtime_candidate_exact_fit,"Difficulty low"
0x28B08,"ふつう","Vừa","Vừa",3,runtime_candidate_exact_fit,"Difficulty normal"
0x28B12,"つよい","Khó","Khó",3,runtime_candidate_exact_fit,"Difficulty high"
0x28B1C,"１８０秒","180 giây","180s",4,runtime_candidate_exact_fit,"Compact time option"
0x28B28,"勝つまで","Đến khi thắng","",4,runtime_needs_expansion,"No clean Vietnamese exact-fit candidate accepted; do not use ugly abbreviation"
0x28B34,"１８０秒","180 giây","180s",4,runtime_candidate_exact_fit,"Second occurrence"
0x28B40,"勝つまで","Đến khi thắng","",4,runtime_needs_expansion,"No clean Vietnamese exact-fit candidate accepted"
0x28B50,"プレイヤー１","Người chơi 1","P1",6,runtime_candidate_exact_fit,"Compact player slot label"
0x28B62,"プレイヤー２","Người chơi 2","P2",6,runtime_candidate_exact_fit,"Compact player slot label"
0x28B74,"プレイヤー３","Người chơi 3","P3",6,runtime_candidate_exact_fit,"Compact player slot label"
0x28B86,"プレイヤー４","Người chơi 4","P4",6,runtime_candidate_exact_fit,"Compact player slot label"
0x28B96,"対戦するよ","Chơi","Chơi",5,runtime_candidate_exact_fit,"Active human-player slot"
0x28BA6,"コンピュータ","CPU","CPU",6,runtime_candidate_exact_fit,"Computer-controlled slot"
0x28BB6,"おやすみだよ","Nghỉ","Nghỉ",6,runtime_candidate_exact_fit,"Inactive slot"
0x28BC6,"接続なし","Không kết nối","",4,runtime_needs_expansion,"Do not degrade Vietnamese to No/Off; requires field expansion or alternate layout"
0x28BD2,"パッド","Tay cầm","Tay",3,runtime_candidate_exact_fit,"Compact Vietnamese shorthand for controller"
0x28BDE,"マウス","Chuột","",3,runtime_needs_expansion,"Chuột needs 5 units; preserve full Vietnamese for expanded layout"
0x28BEA,"スコープ","Super Scope","SS",4,runtime_candidate_exact_fit,"Temporary hardware abbreviation if field cannot expand"
0x28BFF,"ステージ","Màn","Màn",4,runtime_candidate_exact_fit,"Stage selector heading"
0x31CFB,"スタートをおしてね","Nhấn START nhé","Bấm START",9,runtime_candidate_exact_fit,"Natural compact instruction"
0x31D14,"クイズを続けますか？","Tiếp tục câu đố?","Tiếp tục?",10,runtime_candidate_exact_fit,"Compact yes/no prompt"
0x31D2F,"はい","Có","Có",2,runtime_candidate_exact_fit,"Yes choice"
0x31D3A,"いいえ","Không","",3,runtime_needs_expansion,"Không needs 5 units; do not replace with informal Ko or English No"
