file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x2B7C9,"メロディーありでスタート","Bắt đầu có nhạc","Chơi có nhạc","Ngắn và giống lựa chọn game hơn, vẫn giữ nghĩa có melody","seed_known_strings.csv"
0x2B7EF,"メロディーなしでスタート","Bắt đầu không nhạc","Chơi không nhạc","Đối xứng rõ với lựa chọn có nhạc","seed_known_strings.csv"
0x31CFB,"スタートをおしてね","Nhấn START nhé","Bấm START nhé","Khẩu ngữ game tự nhiên hơn","seed_known_strings.csv"
0x28892,"サウンド","Âm thanh","Âm thanh","Giữ chuẩn menu hệ thống","main_menu_vi.csv"
0x288A2,"ステレオ","Stereo","Stereo","Thuật ngữ audio chuẩn, không Việt hóa cưỡng ép","main_menu_vi.csv"
0x288B2,"モノラル","Mono","Mono","Thuật ngữ audio chuẩn","main_menu_vi.csv"
0x3153A,"第  問","Câu số","Câu","Nhãn động đi kèm số, không cần thêm 'số'","quiz_ui_misc_vi.csv"
0x31547,"第    問","Câu số","Câu","Đồng bộ layout biến thể","quiz_ui_misc_vi.csv"
0x31C73,"もんだい数              問","Số câu hỏi","Tổng câu","Ngắn, hợp màn thống kê","quiz_ui_misc_vi.csv"
0x31C94,"こたえた回数            回","Số lần trả lời","Lượt trả lời","Nhãn thống kê tự nhiên hơn","quiz_ui_misc_vi.csv"
0x31CB5,"せいかいりつ            ％","Tỷ lệ trả lời đúng","Tỷ lệ đúng","Gọn và chuẩn màn kết quả","quiz_ui_misc_vi.csv"
0x31CD8,"一発で正解したのは      回","Số câu đúng ngay lần đầu","Đúng lần đầu","Ngắn nhưng giữ ý","quiz_ui_misc_vi.csv"
0x28924,"しゃがむ","Cúi xuống","Cúi","Nhãn nút điều khiển nên cực ngắn","minigame_ui_batch01_vi.csv"
0x28932,"移動","Di chuyển","Đi","Nhãn nút điều khiển ngắn","minigame_ui_batch01_vi.csv"
0x2893C,"ボールを","Ném","Ném","Giữ từ đầu của nhãn hai dòng","minigame_ui_batch01_vi.csv"
0x2894A,"なげる","bóng","bóng","Giữ thứ tự Việt hóa hai dòng: Ném / bóng","minigame_ui_batch01_vi.csv"
0x289DE,"ドライヤー","Máy sấy","Sấy","Nhãn điều khiển gọn hơn","minigame_ui_batch01_vi.csv"
0x289EE,"移動","Di chuyển","Đi","Đồng bộ nhãn điều khiển","minigame_ui_batch01_vi.csv"
0x289F8,"おしている間","Giữ nút để","Giữ nút","Nhãn hai dòng tự nhiên hơn","minigame_ui_batch01_vi.csv"
0x28A0A,"ペンキをぬる","quét sơn","Sơn","Dòng dưới gọn thành hành động chính","minigame_ui_batch01_vi.csv"
0x28A70,"投げる","Ném","Ném","Giữ nhãn hành động chuẩn","minigame_ui_batch01_vi.csv"
0x28A7C,"移動","Di chuyển","Đi","Đồng bộ với các minigame khác","minigame_ui_batch01_vi.csv"
0x28BD2,"パッド","Tay cầm","Tay cầm","Tên thiết bị đầy đủ ở meaning/UI layer","minigame_ui_batch01_vi.csv"
0x28BDE,"マウス","Chuột","Chuột","Tên thiết bị chuẩn","minigame_ui_batch01_vi.csv"
0x28BEA,"スコープ","Super Scope","Super Scope","Giữ tên phụ kiện SNES chính thức","minigame_ui_batch01_vi.csv"
