source_jp,vi_full,status,evidence,notes
ちびまる子ちゃん めざせ！南のアイランド！！,"Chibi Maruko-chan: Tiến tới đảo phương Nam!!",graphics_target_verified_visible_title,"verified title-screen screenshot/reference","title/logo artwork; preserve Chibi Maruko-chan brand name; reverse actual title asset before write"
__LOCALIZATION_CREDIT__,"Việt hóa bởi VôtriValley",graphics_target_new_credit,"user-requested localization credit","new line on title/intro screen; keep separate from original copyright; exact placement after asset/layout reverse"
どれにする？,Chọn gì đây?,graphics_target_verified_visible,"user screenshot of main menu","pink-banner heading; prior direct CP932/glyph-ID/interleaved/simple tilemap searches failed; actual asset path unresolved"
はじめから,Bắt đầu,graphics_target_verified_visible,"user screenshot + internal screen descriptor at 0x286B4","descriptor is not the retail visible asset"
パスワード,Mật khẩu,graphics_target_verified_visible,"user screenshot + internal screen descriptor at 0x286B4","descriptor is not the retail visible asset"
今からやるよ,Bắt đầu thôi!,graphics_target_visible_family,"user screenshots + internal demo descriptor at 0x286EA","verify exact on-screen placement before final graphics insertion"
ＶＳ,VS,graphics_target_verified_visible,"user screenshot + internal VS descriptor at 0x28714","large visible VS graphic already Latin; preserve unless layout work requires redraw"
ルールをせつめいするよ,Luật chơi,graphics_target_verified_visible,"user screenshot of VS rules panel","visible rule-panel graphic/text path unresolved"
２本先取だよ,Thắng 2,graphics_target_verified_visible,"user screenshot of VS rules panel","compact Vietnamese target for visible rule graphic"
ゲームの時間は勝つまでだよ,Đến khi thắng,graphics_target_verified_visible,"user screenshot of VS rules panel","compact Vietnamese target for visible rule graphic"
勝ち,Thắng,graphics_target_verified_visible,"user screenshot of large victory card + internal win descriptor at 0x28732","large graphic; not ordinary direct-text"
敗けた,Thua,graphics_target_inferred,"internal lose descriptor at 0x2875E","verify exact visible result graphic wording before insertion"
コンティニュー,Tiếp tục,graphics_target_inferred,"internal Continue descriptor at 0x2878A","actual retail visible asset path unresolved"
やめる,Hủy / Thoát,graphics_target_inferred,"internal quit-story descriptor at 0x287AC","choose Hủy vs Thoát only after exact visible screen context is verified"
最終勝利,Chiến thắng cuối,graphics_target_inferred,"internal final-victory descriptor at 0x287E0","descriptor only; actual visible title/result asset unresolved"
エンディング,Kết thúc,graphics_target_inferred,"internal Ending descriptor at 0x287FC","actual visible ending graphic/title path unresolved"
