file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x1A67F,"うん  どんどん  かかってきなさい","Ừ, cứ tới hết đi!","Ừ, cứ tới hết đây!","Giọng Maruko tự tin, tự nhiên hơn","story_batch02_part1_vi.csv"
0x1A6AD,"まるちゃんも  たまちゃんも  ケガしないように  がんばってね","Maru-chan, Tama-chan, hai cậu cố lên nhưng đừng để bị thương nhé.","Maru-chan, Tama-chan, hai cậu cố lên nhé, nhưng nhớ đừng để bị thương.","Nhịp câu Việt tự nhiên hơn","story_batch02_part1_vi.csv"
0x1A6F2,"そうほほえみつつ  じぶんは  でなくてよかった…と思う  とし子ちゃんであった","Toshiko-chan mỉm cười nói vậy, trong bụng lại thầm nghĩ: may mà mình không phải thi...","Toshiko-chan vừa mỉm cười vừa nghĩ bụng: may quá, mình không phải thi...","Narrator gọn và dí dỏm hơn","story_batch02_part1_vi.csv"
0x1A8A7,"あんたも  なかなかやるねぇ  わたしゃ  おそれいったよ","Cậu cũng khá lắm đấy. Tớ phục rồi.","Cậu cũng ra trò lắm đấy. Tớ phục rồi.","Giữ chất Maruko hơi già đời nhưng tự nhiên hơn","story_batch02_part1_vi.csv"
0x1A8E6,"まるちゃん  としよりくさいよ…","Maru-chan, cậu nói cứ như bà cụ ấy...","Maru-chan, nghe cậu nói cứ như bà cụ ấy...","Tự nhiên hơn trong lời trêu bạn","story_batch02_part1_vi.csv"
0x1A941,"ベイビー  こんどこそ  にがさないよ","Baby, lần này tớ không để cậu thoát đâu.","Baby, lần này tớ không để cậu chạy đâu.","Bớt sắc thái truy đuổi/chiến đấu","story_batch02_part1_vi.csv"
0x1A9CB,"私も  あなたを  のがさないわぁー","Tớ cũng không để cậu thoát đâu nhé!","Tớ cũng không để cậu chạy đâu nhé!","Đồng bộ sắc thái vui đùa với câu trước","story_batch02_part1_vi.csv"
0x1AA01,"ヒュー  にくいね  この  いろおとこ","Hú! Đúng là chàng đào hoa có khác.","Huýt! Đúng là chàng đào hoa có khác.","ヒュー là tiếng huýt sáo trêu chọc","story_batch02_part1_vi.csv"
0x1AB63,"やっぱり  わたしの運も  ここまでなのかナ？","Vậy là vận may của tớ cũng chỉ đến đây thôi sao?","Chẳng lẽ vận may của tớ chỉ tới đây thôi sao?","Tự nhiên hơn cho câu tự than","story_batch02_part1_vi.csv"
0x1ABA1,"ああ  ほんとうに  こんな人に  負けるなんて…","Trời ơi, thật tình... lại thua một người thế này...","Trời ơi... không ngờ mình lại thua một người thế này...","Câu Việt trôi hơn, vẫn giữ ý khó tin","story_batch02_part1_vi.csv"
0x1AC56,"丸尾スエオ  プライドをかけて  こんどこそ  負けはしないでしょう！！","Maruo Sueo này xin đem cả lòng tự trọng ra cược, lần này nhất định không thua!!","Tôi, Maruo Sueo, xin cược cả lòng tự trọng: lần này nhất định không thua!!","Giữ chất Maruo khoa trương nhưng câu Việt sáng hơn","story_batch02_part1_vi.csv"
0x1AD3F,"さ  さくらさんっ  代表を  ゆずったからには…  次の選挙では  私に一票  入れるのが  ズバリあなたの  義務でしょう！！","Sa-Sakura-san! Vì tôi đã nhường suất đại diện cho bạn... lần bầu cử tới, bỏ một phiếu cho tôi là nghĩa vụ của bạn, nói thẳng ra là vậy!!","S-Sakura-san! Tôi đã nhường suất đại diện cho bạn rồi... vậy thì kỳ bầu cử tới, bỏ cho tôi một phiếu, nói thẳng ra, chính là nghĩa vụ của bạn!!","Giữ câu cửa miệng ズバリ và giọng Maruo rõ hơn","story_batch02_part1_vi.csv"
0x1AE9A,"ヒェっ  なにも  そこまで  いわなくても…","Hể!? Có cần nói đến mức đó không...","Hể!? Đâu cần nói tới mức đó chứ...","Phản ứng khẩu ngữ tự nhiên hơn","story_batch02_part1_vi.csv"
0x1AF6E,"ズバリ  そのとおりだよ","Nói thẳng ra... đúng là như vậy đấy!","Nói thẳng ra... đúng y như vậy!","Gọn và có nhịp punchline hơn","story_batch02_part1_vi.csv"
0x1AFB3,"勝利者でありながら  この胸の痛みは！？","Dù là người chiến thắng, sao ngực mình lại đau thế này!?","Thắng rồi mà sao lòng mình vẫn nhói thế này!?","Bớt văn viết, giữ cảm giác đau lòng","story_batch02_part1_vi.csv"
0x1B0AB,"いわれてみれば  そうだよな","Nghe vậy thì cũng đúng ha.","Nghe vậy thì... cũng đúng thật.","Tự nhiên hơn và bớt phương ngữ Việt không cần thiết","story_batch02_part1_vi.csv"
0x1B100,"じゃあ  あんたたち  かわっておくれよぉー","Vậy thì mấy cậu đổi chỗ cho tớ đi mà...","Vậy mấy cậu đổi cho tớ đi mà...","Gọn hơn; giữ sự nài nỉ của Maruko","story_batch02_part1_vi.csv"
0x1B1F6,"やだね  おじいちゃん  じつりょくを  みせただけだよ…","Thôi đi ông, cháu chỉ cho mọi người thấy thực lực thôi mà...","Thôi mà ông, cháu chỉ cho mọi người thấy chút thực lực thôi...","Mềm và đúng giọng cháu nói với ông hơn","story_batch02_part2_vi.csv"
0x1B26C,"けっこう  よわいブー","Khá là yếu đấy, buu.","Yếu ghê, buu.","Giọng trẻ con tự nhiên hơn","story_batch02_part2_vi.csv"
0x1B4A4,"そういえば  わたしって  どこの島に  行くかもしらずに  こんなに  くろうしてるんだ…","Nghĩ lại thì... mình còn chẳng biết mình có thể sẽ đi hòn đảo nào mà đã khổ sở thế này rồi...","Nghĩ lại... mình còn chẳng biết sẽ đi đảo nào mà đã vất vả tới mức này rồi...","Bớt cấu trúc dịch sát tiếng Nhật","story_batch02_part2_vi.csv"
0x1B55E,"そうだね  ともだちを  たいせつにしない  人だね  さくらは","Ừ. Sakura đúng là người chẳng biết trân trọng bạn bè nhỉ.","Ừ. Sakura đúng là chẳng biết quý bạn bè gì cả.","Tự nhiên hơn trong lời bạn bè chê nhau","story_batch02_part2_vi.csv"
0x1B5AC,"きみは  そんなふうだから  いつまでたっても  ダメなんだ","Cậu cứ như vậy nên mãi mãi mới không khá lên được.","Cậu cứ thế này thì bao giờ mới khá lên nổi.","Khẩu ngữ tự nhiên hơn, giữ lời trách","story_batch02_part2_vi.csv"
0x1B6BE,"そんなこと  わからないなんて  キミ  いきてるかいがないね  しつれいするよ","Đến chuyện đó mà cũng không hiểu thì thật chẳng ra sao cả. Xin phép.","Đến chuyện đó mà cũng không hiểu thì sống còn có ý nghĩa gì nữa. Tôi xin phép.","Khôi phục nghĩa trực tiếp của 生きてるかいがない; bản cũ làm mềm quá mức","story_batch02_part2_vi.csv"
0x1B721,"い  いきてるかい…","Chẳng... ra sao...","Ý... ý nghĩa để sống...","Giữ callback trực tiếp với câu 生きてるかいがない ngay trước đó","story_batch02_part2_vi.csv"
0x1B73C,"わたしゃダメな女なんだね…","Mình đúng là cô gái vô dụng...","Mình đúng là đứa con gái vô dụng thật...","Giọng Maruko tự giễu tự nhiên hơn","story_batch02_part2_vi.csv"
0x1B79B,"そういってくれるのは  たまちゃんだけだよ  心の友だね  まったく","Chỉ có Tama-chan mới nói vậy với tớ thôi. Đúng là tri kỷ của tớ!","Chỉ có Tama-chan mới chịu nói vậy với tớ thôi. Đúng là bạn tâm giao mà!","Ấm áp hơn, vẫn giữ 心の友","story_batch02_part2_vi.csv"
0x1B91D,"わたしって  いったい…","Mình rốt cuộc là sao vậy...","Rốt cuộc mình là cái gì vậy...","Giữ sắc thái tự vấn hài của Maruko","story_batch02_part2_vi.csv"
0x1B94F,"女の子を  かなしませてしまう  ボクって  つみな男だよ  ゆるしておくれ","Làm con gái buồn, tớ đúng là chàng trai tội lỗi. Tha lỗi cho tớ nhé...","Làm con gái phải buồn, tớ đúng là một chàng trai mang tội. Tha lỗi cho tớ nhé...","Giữ chất Hanawa màu mè, câu Việt mượt hơn","story_batch02_part2_vi.csv"
0x1BA12,"ついに  さいごに  なったね","Cuối cùng cũng đến lượt cuối rồi nhỉ.","Cuối cùng cũng đến lượt thi cuối rồi nhỉ.","Làm rõ ngữ cảnh cuộc thi","story_batch02_part2_vi.csv"
0x1BA3E,"ながいようで  みじかい戦い  だったよ","Cuộc thi tưởng dài mà hóa ra ngắn ghê.","Cuộc thi tưởng dài mà ngắn thật nhỉ.","Bớt cảm giác dịch và giữ giọng nhẹ","story_batch02_part3_vi.csv"
0x1BABA,"目にみえない女の戦いが  いま  ここに…","Ư hư hư... A ha ha... Một màn ganh đua vô hình giữa hai cô gái đang âm thầm diễn ra...","Ư hư hư... A ha ha... Cuộc đấu ngầm giữa hai cô gái giờ mới thật sự bắt đầu...","Narrator dí dỏm hơn, giữ 女の戦い mà không thành chiến trận","story_batch02_part3_vi.csv"
0x1BB97,"でも  もう  南の島の  フルーツや  青い海を  たのしめないんだよ！！","Nhưng giờ cậu không còn được tận hưởng trái cây và biển xanh ở đảo phương Nam nữa đâu!!","Nhưng vậy là cậu chẳng còn được vui với trái cây và biển xanh ở đảo phương Nam nữa rồi!!","Giọng bạn bè tự nhiên hơn","story_batch02_part3_vi.csv"
