file_offset,source_jp,vi_full,status,notes
0x2CBAD,なみにきをつけて,Coi chừng sóng!,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CBCC,はねはねリング,Vòng tròn bật nảy,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CBEB,よ～くねらってね,Ngắm cho thật kỹ!,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CC0A,パークでワープ,Dịch chuyển ở công viên,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CC29,こわしてすすめ,Đập mở đường đi,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CC48,みつやでペンキ,Sơn ở tiệm Mitsuya,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CC67,よみせでペンキ,Sơn ở quầy hội chợ,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CC86,やしきでペンキ,Sơn ở dinh thự,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CCA5,デパートでペンキ,Sơn ở trung tâm bách hóa,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CCC4,学校でペンキ,Sơn ở trường học,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CCE3,うきうきスクエア,Quảng trường vui nhộn,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CD02,ねばりのスクエア,Quảng trường dính nhớp,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CD21,つるつるスクエア,Quảng trường trơn tuột,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CD40,くるくるサークル,Vòng tròn xoay xoay,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
0x2CD5F,ぐるぐるスクエア,Quảng trường quay tít,translated_stage_names_batch01,meaning-first stage/title localization; runtime layout path not yet audited
