file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x2BD8D,"どんどん  かなうよ","Điều ước cứ thế thành hiện thực","Ước gì cũng lần lượt thành hết đó","Giọng quẻ bói vui, tự nhiên hơn","fortune_batch01_part1_vi.csv"
0x2BDBD,"幸運は  ねてまてじゃよ","Cứ thong thả mà chờ vận may nhé","Vận may cứ nằm chờ là tới thôi","Giữ nét đùa của 寝て待て, bớt chung chung","fortune_batch01_part1_vi.csv"
0x2BE51,"少しなら  かなうかもね","Một chút thì có lẽ được đấy","Có khi được một chút đó","Tự nhiên hơn trong lời bói ngắn","fortune_batch01_part1_vi.csv"
0x2BEFD,"心がけしだいです","Còn tùy vào chính bạn đấy","Còn tùy bạn cố gắng thế nào thôi","Làm rõ 心がけ, bớt mơ hồ","fortune_batch01_part1_vi.csv"
0x2BF31,"がっぽりもうかるよ","Sắp kiếm được một mớ to","Sắp kiếm đậm đó","Ngắn, vui và đúng sắc thái がっぽり","fortune_batch01_part1_vi.csv"
0x2BF4A,"大金が  ころがりこむよ","Tiền to sắp lăn vào túi","Một khoản tiền lớn sắp tự tìm đến","Tự nhiên hơn nhưng vẫn giữ hình ảnh tiền bất ngờ tới","fortune_batch01_part1_vi.csv"
0x2C01D,"下をむいて歩こう","Đi đường nhớ nhìn xuống nhé","Đi đường cứ nhìn xuống đất nhé","Giữ lời quẻ kỳ quặc/hài, bớt thêm ý 'nhớ'","fortune_batch01_part1_vi.csv"
0x2C034,"かしかりはソンのもと","Vay mượn dễ thiệt thân lắm","Cho vay mượn là dễ thiệt thân lắm","貸し借り gồm cả cho vay và vay mượn","fortune_batch01_part1_vi.csv"
0x2C08D,"サイフをおとすかもね","Có khi làm rơi ví đấy","Coi chừng làm rơi ví đó","Lời cảnh báo tự nhiên hơn","fortune_batch01_part1_vi.csv"
0x2C0DE,"ピンチですね","Túi tiền đang nguy rồi","Hầu bao nguy rồi đó","Giữ ngữ cảnh tài vận nhưng vui hơn","fortune_batch01_part1_vi.csv"
0x2C127,"であいのヨ・カ・ン","Có điềm gặp một người đặc biệt","Có linh cảm sắp gặp ai đó...","Giữ nhịp trêu đùa của ヨ・カ・ン và không thêm 'đặc biệt'","fortune_batch01_part2_vi.csv"
0x2C172,"いいカンジ、じっくりとね","Khá ổn đấy, cứ từ từ nhé","Có vẻ ổn đó, cứ từ từ thôi","Khẩu ngữ tự nhiên hơn","fortune_batch01_part2_vi.csv"
0x2C191,"やっぱりプレゼントだよ","Quà tặng vẫn là chiêu hay nhất","Quà tặng vẫn là số một","Bỏ thêm nghĩa 'chiêu' không có trong nguồn","fortune_batch01_part2_vi.csv"
0x2C2DB,"しばらくは  おとなしく","Tạm thời cứ ngoan ngoãn yên phận nhé","Tạm thời cứ ngoan ngoãn một chút nhé","Bớt sắc thái 'yên phận' quá nặng","fortune_batch01_part2_vi.csv"
0x2C317,"カンが  さえてるよ","Đầu óc hôm nay nhạy bén lắm","Trực giác hôm nay bén lắm đó","カン là trực giác, không phải trí óc nói chung","fortune_batch01_part2_vi.csv"
0x2C477,"あんた、予習はだいじだよ","Này, xem bài trước quan trọng lắm đó","Này, học trước bài cũng quan trọng lắm đó","予習 là chuẩn bị/học bài trước","fortune_batch01_part2_vi.csv"
0x2C4CE,"カンにたよっちゃだめだよ","Đừng chỉ dựa vào đoán mò nhé","Đừng chỉ trông vào trực giác nhé","Khôi phục đúng nghĩa カン và đối ứng với dòng 0x2C317","fortune_batch01_part2_vi.csv"
0x2C574,"勝負ごとについてるよ","Hôm nay thi thố rất có duyên","Hôm nay thi thố gì cũng hên","Giọng bói vui tự nhiên hơn","fortune_batch01_part3_vi.csv"
0x2C5E2,"あんた、すごくついてるよ","Hôm nay bạn may ghê đó","Hôm nay hên dữ lắm đó","Giữ giọng thân mật, vui nhộn","fortune_batch01_part3_vi.csv"
0x2C61C,"歯みがきしてみよう","Thử đánh răng thật kỹ nhé","Thử đánh răng xem","Bỏ 'thật kỹ' vì nguồn không có","fortune_batch01_part3_vi.csv"
0x2C64A,"ハプニングのヨ・カ・ン","Có điềm sắp xảy ra chuyện bất ngờ","Có linh cảm sắp có chuyện!","Gọn, giữ giọng trêu của ヨ・カ・ン","fortune_batch01_part3_vi.csv"
0x2C69F,"一休み、一休み","Nghỉ một chút, nghỉ một chút","Nghỉ thôi, nghỉ thôi","Tự nhiên và có nhịp hơn","fortune_batch01_part3_vi.csv"
0x2C72C,"今日は  おやつをやめよう","Hôm nay thử nhịn ăn vặt nhé","Hôm nay thôi ăn vặt nhé","Nguồn là 'bỏ/không ăn', không phải 'thử nhịn'","fortune_batch01_part3_vi.csv"
0x2C854,"上には気をつけて","Coi chừng phía trên nhé","Cẩn thận phía trên!","Ngắn và đúng kiểu lời quẻ cảnh báo","fortune_batch01_part3_vi.csv"
