file_offset,source_jp,vi_full,vi_singable_v1,status,notes
0x2B380,盆暮れ  正月  やたらと忙し,"Obon, cuối năm, năm mới, lúc nào cũng bận túi bụi","Obon, cuối năm, Tết đến bận tối tăm",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B3A8,年がら年中  大さわぎ,Quanh năm suốt tháng náo nhiệt tưng bừng,"Quanh năm suốt tháng, lúc nào cũng rộn ràng",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B3C0,ふー,Phù...,Phù...,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B3D5,どのみち  このみち  まわりみち,"Đường nào, đường này, rồi lại đường vòng","Đường này, đường kia, lại vòng đường xa",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B3FD,シンマイ  シシマイ  テンテコマイ,"Gạo mới, múa lân, quay cuồng tối mặt","Gạo mới, múa lân, xoay như chong chóng",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B428,どうしたこうした  それからどうした,"Thế này thế nọ, rồi sau đó sao?","Thế này thế nọ, rồi sau đó sao?",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B452,おまつり  バーゲン  もちつき  大会,"Lễ hội, giảm giá, rồi thi giã bánh mochi","Lễ hội, giảm giá, thi giã bánh mochi",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B47D,そのあと  腰痛  足もと  ふらふら,"Xong xuôi đau lưng, chân đứng chẳng vững","Xong rồi đau lưng, chân tay lảo đảo",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B4A5,とっても  はりきり,Hăng hái hết cỡ,Hăng hái hết mình,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B4BB,あーそれそれ,"A, dô nào dô nào!","A, dô nào dô!",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B4D2,いっぱい  食べれば  満腹  天国,"Ăn thật nhiều, no căng, sướng như thiên đường","Ăn no căng bụng, sướng như thiên đường",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B4FA,満足  極楽  シュラシュシュシュ,"Mãn nguyện, cực lạc, shura-shu-shu-shu!","Mãn nguyện, cực vui, shura-shu-shu-shu!",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B525,あれより  これより  どれよりも,"Hơn cái kia, cái này, hơn tất cả","Hơn kia, hơn đây, hơn tất cả luôn",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B54D,やっぱり  これだよ  お母さん,"Quả nhiên vẫn là món này, mẹ ơi!","Đúng là món này, mẹ ơi mẹ à!",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B578,なんだね  かんだね  結局  どれだね,"Nói này nói nọ, rốt cuộc chọn món nào?","Nói qua nói lại, rốt cuộc món nào?",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B5A2,どんぶり  ラーメン  決め手は麺だね,"Cơm tô, ramen, quan trọng vẫn là sợi mì!","Cơm tô, ramen, ngon là nhờ sợi mì!",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B5CD,そのあとついでにギョーザも食べよう,Tiện thể ăn thêm cả gyoza nữa!,Tiện thể ăn thêm gyoza luôn nào!,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B5F5,とっても  はりきり,Hăng hái hết cỡ,Hăng hái hết mình,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B60B,はぁーどうした,"Hàa, rồi sao nữa?","Hàa, rồi sao nữa?",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B622,スッキリするには  マラソンなわとび,"Muốn khoan khoái thì chạy marathon, nhảy dây","Muốn người khoan khoái: chạy bộ, nhảy dây",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B64A,まだまだ  いけるよ  フラダンス,"Vẫn còn sung lắm, nhảy hula nữa nào","Vẫn còn sung lắm, nhảy hula nữa nào",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B675,やらなきゃならない  今のうち,Muốn làm thì phải làm ngay lúc này,"Muốn làm thì làm, tranh thủ lúc này",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B69D,がっちり  体力  つけなくちゃ,Phải rèn thể lực cho thật khỏe,"Rèn cho thật khỏe, thể lực thật đầy",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B6C8,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,Rock 'n' Roll của ông Harikiri,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B6F0,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,Rock 'n' Roll của ông Harikiri,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B71B,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,Rock 'n' Roll của ông Harikiri,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B743,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,Rock 'n' Roll của ông Harikiri,karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
0x2B76E,なんともはや,"Thiệt tình, hết nói nổi...","Thiệt tình, hết biết luôn...",karaoke_singable_draft_v1,meaning preserved; draft optimized for shorter rhythmic phrasing; timing/syllable runtime audit still required
