file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x34F7B,"まる子のクラスメイトの冬田さん。実は彼女にはすきな人","Fuyuta-san, bạn cùng lớp của Maruko. Thật ra cô bạn đang thích một người...","Fuyuta-san là bạn cùng lớp với Maruko. Thật ra cô bạn đang để ý một người...","Tự nhiên hơn trong lời dẫn câu hỏi","quiz_batch02_part1_vi.csv"
0x34FC8,"が…。さて冬田さんのすきな男子はいったいだれ？","...Vậy cậu con trai mà Fuyuta-san thích là ai?","...Vậy chàng trai Fuyuta-san thích rốt cuộc là ai?","Nhịp hỏi tự nhiên hơn","quiz_batch02_part1_vi.csv"
0x3503C,"変な顔シールをあつめているクラスの女子、冬田さん。大野くんがすきで、バレンタイン","Fuyuta-san là cô bạn trong lớp thích sưu tầm sticker mặt ngộ nghĩnh. Cô bé thích Ono-kun và vào Valentine...","Fuyuta-san là cô bạn trong lớp mê sưu tầm sticker mặt ngộ nghĩnh. Cô bé thích Ono-kun, và đến Valentine...","Lời kể gọn và tự nhiên hơn","quiz_batch02_part1_vi.csv"
0x350AD,"にはチョコをわたすが、まさかそのチョコがまる子から、さらには友蔵","...đã tặng cậu ấy sô-cô-la. Nào ngờ số sô-cô-la ấy lại vòng qua Maruko, rồi tới cả Tomozo...","...đã tặng cậu ấy sô-cô-la. Ai ngờ miếng sô-cô-la ấy lại vòng qua Maruko rồi tới cả Tomozo...","Bớt văn viết và giữ số ít そのチョコ","quiz_batch02_part1_vi.csv"
0x35157,"学級委員であることに命をかける少年丸尾くんだが、","Maruo-kun là cậu bạn sống chết vì chức lớp trưởng...","Maruo-kun là cậu bạn coi chức lớp trưởng như lẽ sống...","Giữ phóng đại hài của 命をかける nhưng tự nhiên hơn","quiz_batch02_part1_vi.csv"
0x3521E,"本名、丸尾スエオ。ときどき学級委員の強みをつかいすぎることもあるが、まじめなかれの","Tên đầy đủ là Maruo Sueo. Đôi khi cậu hơi lạm dụng lợi thế của một lớp trưởng, nhưng vốn là người rất nghiêm túc...","Tên thật của cậu là Maruo Sueo. Đôi khi cậu cũng hơi lạm dụng quyền lớp trưởng, nhưng vốn rất nghiêm túc...","Bớt cấu trúc giải thích kiểu dịch Nhật","quiz_batch02_part1_vi.csv"
0x3531F,"丸尾くんのかあさまは、丸尾くんが学級委員になるためならどりょくをおしまない人だが、","Mẹ của Maruo-kun là người chẳng tiếc công sức nếu điều đó giúp con mình trở thành lớp trưởng...","Mẹ Maruo-kun chẳng tiếc công sức, miễn sao con mình được làm lớp trưởng...","Câu Việt tự nhiên hơn","quiz_batch02_part1_vi.csv"
0x353F3,"４９才。とてもやさしいかあさまだが、丸尾くんは花輪くんのママの","...49 tuổi. Bà là một người mẹ rất hiền, nhưng Maruo-kun lại...","...49 tuổi. Bà rất hiền, nhưng Maruo-kun lại...","Gọn hơn, tránh lặp 'người mẹ'","quiz_batch02_part1_vi.csv"
0x35445,"ような、わかくてきれいなかあさまがいいといって、かあさまを","...ước mẹ mình trẻ đẹp như mẹ Hanawa-kun...","...nói rằng mình muốn có một người mẹ trẻ đẹp như mẹ Hanawa-kun...","Khôi phục sắc thái lời nói いって","quiz_batch02_part1_vi.csv"
0x3549E,"こまらせるのであった。","...khiến bà nhiều phen khổ tâm.","...khiến mẹ mình không ít lần khổ tâm.","Làm rõ chủ thể và quan hệ","quiz_batch02_part1_vi.csv"
