file_offset,vi_full,status
0x181CC,"Nói thẳng ra nhé! Để sang đó giao lưu mà không bị quê, chúng ta phải rèn phản xạ thôi!",translated_meaning_batch01
0x18245,"Nói thẳng ra nhé! Để sang đó giao lưu mà không bị quê, đây là bài luyện để khỏi rơi khỏi đảo!",translated_meaning_batch01
0x182BE,"Nói thẳng ra nhé! Để sang đó giao lưu mà không bị quê, chúng ta phải trau dồi óc nghệ thuật!",translated_meaning_batch01
0x18377,Cô có một tin hay muốn báo cho cả lớp đây.,translated_meaning_batch01
0x183A7,Chương trình trao đổi học sinh với một hòn đảo phương Nam đã được quyết định. Đại diện lớp mình sẽ có...,translated_meaning_batch01
0x18408,...một bạn được chọn để đi.,translated_meaning_batch01
0x18442,Nghe ghê gớm ghê á.,translated_meaning_batch01
0x18469,Ừm. Mà “trao đổi học sinh” là gì vậy?,translated_meaning_batch01
0x184A9,Là học sinh Nhật với học sinh nước ngoài đến nước của nhau rồi học đủ thứ ở đó ấy mà.,translated_meaning_batch01
0x18517,Ra là vậy...,translated_meaning_batch01
0x1852C,Nói cho gọn là được đi nước ngoài miễn phí chứ gì.,translated_meaning_batch01
0x1856B,Ha... tớ cũng muốn đi thử ghê.,translated_meaning_batch01
0x1859B,"Ơ... Maru-chan, cậu sang đó là để học mà...",translated_meaning_batch01
0x185E9,"Tội cho Tama-chan, nhưng tâm hồn Maruko lúc này đã bay tận đâu đâu.",translated_meaning_batch01
0x18649,Vậy nên cả lớp hãy cùng quyết định xem ai sẽ đi nhé.,translated_meaning_batch01
0x18695,"À phải rồi, cô cho các em xem ảnh người bạn sẽ sang đây nhé.",translated_meaning_batch01
0x186F3,Tuyệt... quá!,translated_meaning_batch01
0x18708,Mùa hè này... mình có linh cảm về một cuộc gặp gỡ thật tuyệt...,translated_meaning_batch01
0x1873E,Linh... cảm!,translated_meaning_batch01
0x18755,Một hòn đảo phương Nam mà không có anh ấy thì đi cũng vô ích thôi.,translated_meaning_batch01
0x18797,Nhưng nếu Hanawa-kun với anh ấy tranh giành mình rồi cãi nhau thì... mình...,translated_meaning_batch01
0x187F2,"Hey, đừng lo mà...",translated_meaning_batch01
0x1883D,...baby.,translated_meaning_batch01
0x18857,Thật ra tớ cũng đang muốn tìm hiểu văn hóa nước ngoài.,translated_meaning_batch01
0x188B7,"Chả hiểu mô tê gì, nhưng tớ cũng muốn đi!",translated_meaning_batch01
0x188F7,Tớ cũng muốn đi bư~!,translated_meaning_batch01
0x18917,"Tớ nữa, tớ nữa! A ha ha ha...",translated_meaning_batch01
0x1894C,Nói thẳng ra! Đại diện lớp thì đương nhiên phải là lớp trưởng như tôi chứ!,translated_meaning_batch01
0x189B3,"Mọi người mà muốn thách thức tôi thì, nói thẳng ra là...",translated_meaning_batch01
0x189EE,...còn sớm mười năm!,translated_meaning_batch01
0x18A0E,"Hey, đời này phải nhìn vào thực lực chứ.",translated_meaning_batch01
0x18A5E,"Người thật sự xứng đáng mới nên đi, cậu không nghĩ vậy sao? Chính cậu mới nên nhường đi.",translated_meaning_batch01
0x18AD1,Đúng đó! Đừng tưởng chỉ mình cậu được đi nước ngoài miễn phí. Không dễ thế đâu nha!,translated_meaning_batch01
0x18B36,Trong đầu chỉ nghĩ tới chuyện được đi nước ngoài miễn phí mà còn nói ai.,translated_meaning_batch01
0x18B8C,Cái gì cơ!! Sakura Maruko! Thật là xúc phạm quá mức!! Vậy thì để tôi cho mọi người thấy thực lực của mình!,translated_meaning_batch01
0x18C30,Chuyện to mất rồi nhỉ...,translated_meaning_batch01
0x18C62,Tama-chan cũng tham gia chứ?,translated_meaning_batch01
0x18C93,Ơ... tớ thì...,translated_meaning_batch01
0x18CC1,"Nếu thắng, mình sẽ được làm “Tammy của hòn đảo phương Nam”... Giấc mơ của Tamae cứ thế âm thầm lớn dần.",translated_meaning_batch01
0x18D20,"Tối hôm đó, tại nhà Sakura...",translated_meaning_batch01
0x18D48,"Maruko, con có ổn không đấy? Đừng để bị thương nhé.",translated_meaning_batch01
0x18D90,Hay là mang cơm hộp đi cổ vũ nhỉ.,translated_meaning_batch01
0x18DD0,Maruko mà cũng thành học sinh trao đổi được sao?,translated_meaning_batch01
0x18E16,"Không sao! Maruko là con của bố mà! Nào, cạn ly vì hòn đảo phương Nam!",translated_meaning_batch01
0x18E8C,"Ồ, Nam Cực à? Xa xôi lạnh lẽo lắm đấy...",translated_meaning_batch01
0x18F02,Hòn đảo phương Nam... Maruko vui đùa cùng chim cánh cụt... tuyệt quá nhỉ.,translated_meaning_batch01
0x18F73,Ông đi về phương Nam hơi quá xa rồi.,translated_meaning_batch01
0x18F99,"Vậy thì dùng hồ bơi, bóng và sơn để tổ chức cuộc thi chọn đại diện nhé!",translated_meaning_batch01
0x19013,Có phải giải thích trắng trợn quá rồi không?,translated_meaning_batch01
0x190B7,Tự nhiên thấy hồi hộp ghê...,translated_meaning_batch01
0x190E3,Cảm giác như đây là bước đầu tiên tới hòn đảo phương Nam vậy.,translated_meaning_batch01
0x19117,Thế bắt đầu nhé.,translated_meaning_batch01
