file_offset,source_jp,vi_full,status,notes
0x2B380,盆暮れ  正月  やたらと忙し,"Obon, cuối năm, năm mới, lúc nào cũng bận túi bụi",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B3A8,年がら年中  大さわぎ,Quanh năm suốt tháng náo nhiệt tưng bừng,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B3C0,ふー,Phù...,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B3D5,どのみち  このみち  まわりみち,"Đường nào, đường này, rồi lại đường vòng",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B3FD,シンマイ  シシマイ  テンテコマイ,"Gạo mới, múa lân, quay cuồng tối mặt",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B428,どうしたこうした  それからどうした,"Thế này thế nọ, rồi sau đó sao?",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B452,おまつり  バーゲン  もちつき  大会,"Lễ hội, giảm giá, rồi thi giã bánh mochi",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B47D,そのあと  腰痛  足もと  ふらふら,"Xong xuôi đau lưng, chân đứng chẳng vững",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B4A5,とっても  はりきり,Hăng hái hết cỡ,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B4BB,あーそれそれ,"A, dô nào dô nào!",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B4D2,いっぱい  食べれば  満腹  天国,"Ăn thật nhiều, no căng, sướng như thiên đường",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B4FA,満足  極楽  シュラシュシュシュ,"Mãn nguyện, cực lạc, shura-shu-shu-shu!",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B525,あれより  これより  どれよりも,"Hơn cái kia, cái này, hơn tất cả",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B54D,やっぱり  これだよ  お母さん,"Quả nhiên vẫn là món này, mẹ ơi!",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B578,なんだね  かんだね  結局  どれだね,"Nói này nói nọ, rốt cuộc chọn món nào?",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B5A2,どんぶり  ラーメン  決め手は麺だね,"Cơm tô, ramen, quan trọng vẫn là sợi mì!",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B5CD,そのあとついでにギョーザも食べよう,Tiện thể ăn thêm cả gyoza nữa!,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B5F5,とっても  はりきり,Hăng hái hết cỡ,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B60B,はぁーどうした,"Hàa, rồi sao nữa?",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B622,スッキリするには  マラソンなわとび,"Muốn khoan khoái thì chạy marathon, nhảy dây",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B64A,まだまだ  いけるよ  フラダンス,"Vẫn còn sung lắm, nhảy hula nữa nào",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B675,やらなきゃならない  今のうち,Muốn làm thì phải làm ngay lúc này,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B69D,がっちり  体力  つけなくちゃ,Phải rèn thể lực cho thật khỏe,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B6C8,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B6F0,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B71B,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B743,針切じいさんのロケンロール,Rock 'n' Roll của ông Harikiri,translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
0x2B76E,なんともはや,"Thiệt tình, hết nói nổi...",translated_karaoke_batch01,"meaning-first lyric translation; rhythm/singability pass required before runtime insertion"
