source_jp,vi_ui,ui_role,layer,status,notes
どれにする？,Chọn gì đây?,selection_prompt,graphics,frozen_ui_wording,"Main selection heading"
はじめから,Bắt đầu,action_start,graphics,frozen_ui_wording,"New game/start choice"
パスワード,Mật khẩu,action_password,graphics,frozen_ui_wording,"Password choice"
今からやるよ,Bắt đầu thôi!,action_banner,graphics,frozen_ui_wording,"Start/demo banner"
ルールをせつめいするよ,Luật chơi,heading_rules,graphics,frozen_ui_wording,"Visible rules heading"
２本先取だよ,Thắng 2,rule_target,graphics,frozen_ui_wording,"Compact visible rule"
ゲームの時間は勝つまでだよ,Đến khi thắng,rule_time,graphics,frozen_ui_wording,"Compact visible rule"
勝ち,Thắng,result_win,graphics,frozen_ui_wording,"Large result graphic"
敗けた,Thua,result_lose,graphics,frozen_ui_wording,"Visible exact asset still requires verification"
コンティニュー,Tiếp tục,action_continue,graphics,frozen_ui_wording,"Continue screen"
やめる,Thoát,action_quit_story,graphics,context_resolved,"Internal descriptor explicitly identifies Story Mode quit screen"
最終勝利,Chiến thắng cuối cùng!,result_final_win,graphics,frozen_ui_wording,"Descriptor-only source identity; visible asset still unresolved"
エンディング,Kết thúc,ending_heading,graphics,frozen_ui_wording,"Ending title"
クイズを続けますか？,Tiếp tục câu đố?,yes_no_prompt,direct,frozen_ui_wording,"Natural full UI wording"
はい,Có,yes_choice,direct,frozen_ui_wording,"Do not degrade to English Yes"
いいえ,Không,no_choice,direct,frozen_ui_wording,"Do not degrade to Ko/No merely for byte fit"
何本先取？,Thắng mấy ván?,selection_prompt,direct,frozen_ui_wording,"Minigame setup prompt"
勝つまで,Đến khi thắng,time_option,direct,frozen_ui_wording,"Full natural wording; current fixed field may need expansion"
よわい,Dễ,difficulty_choice,direct,frozen_ui_wording,"Low difficulty"
ふつう,Vừa,difficulty_choice,direct,frozen_ui_wording,"Normal difficulty"
つよい,Khó,difficulty_choice,direct,frozen_ui_wording,"High difficulty"
対戦するよ,Chơi,player_slot_state,direct,frozen_ui_wording,"Human slot active"
コンピュータ,CPU,player_slot_state,direct,frozen_ui_wording,"Computer slot"
おやすみだよ,Nghỉ,player_slot_state,direct,frozen_ui_wording,"Inactive slot"
接続なし,Không kết nối,device_state,direct,frozen_ui_wording,"Do not replace with Off/No"
