file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x28818,"ストーリーモード","Chế độ Cốt truyện","Cốt truyện","Nhãn menu gọn và tự nhiên; không cần lặp 'chế độ'","main_menu_vi.csv"
0x2885E,"まるこペイント","Maruko tập vẽ","Vẽ cùng Maruko","Tên chế độ nghe tự nhiên và vui hơn","main_menu_vi.csv"
0x288C2,"ルール  相手にボールをぶつけよう。しゃがむとボールに当たりません。","LUẬT CHƠI  Hãy ném bóng trúng đối thủ. Cúi xuống thì bóng sẽ không trúng bạn.","LUẬT CHƠI  Ném bóng trúng đối thủ. Cúi xuống để né bóng.","Gọn, rõ thao tác và hợp màn hướng dẫn","minigame_ui_batch01_vi.csv"
0x28958,"ルール  ペンキをうまくぬり、相手にふませよう。ドライヤーでペンキをかわかすこともできます。","LUẬT CHƠI  Sơn thật khéo để đối thủ giẫm phải. Bạn cũng có thể dùng máy sấy để làm khô sơn.","LUẬT CHƠI  Sơn thật khéo để đối thủ giẫm phải. Có thể dùng máy sấy làm khô sơn.","Bỏ chủ ngữ thừa, đúng kiểu hướng dẫn game","minigame_ui_batch01_vi.csv"
0x28A1E,"ルール  相手をおしたり、なげとばしたりして、プールにおとそう。","LUẬT CHƠI  Đẩy hoặc ném đối thủ xuống hồ bơi.","LUẬT CHƠI  Đẩy hoặc hất đối thủ xuống hồ!","Hất tự nhiên hơn cho なげとばす; câu vui và gọn","minigame_ui_batch01_vi.csv"
0x28A86,"体当り","Lao vào","Húc","Ngắn, rõ thao tác va người","minigame_ui_batch01_vi.csv"
0x28AA4,"コンピュータの","Độ khó của","Độ khó","Ghép với dòng dưới thành 'Độ khó CPU'","minigame_ui_batch01_vi.csv"
0x28AB8,"つよさ","máy tính","CPU","Thuật ngữ menu game quen thuộc; ghép với dòng trên","minigame_ui_batch01_vi.csv"
0x28AC4,"１ゲームの時間","Thời gian mỗi ván","Thời gian / ván","Dạng nhãn cài đặt gọn, dễ đọc","minigame_ui_batch01_vi.csv"
0x28B08,"ふつう","Thường","Vừa","Chuẩn bộ lựa chọn độ khó Dễ / Vừa / Khó","minigame_ui_batch01_vi.csv"
0x28B96,"対戦するよ","Tham gia","Chơi","Trạng thái slot người chơi gọn và trực tiếp","minigame_ui_batch01_vi.csv"
0x28BA6,"コンピュータ","Máy tính","CPU","Chuẩn thuật ngữ đối thủ máy trong menu game","minigame_ui_batch01_vi.csv"
0x28BB6,"おやすみだよ","Nghỉ nhé","Nghỉ","Trạng thái slot, không cần trợ từ hội thoại","minigame_ui_batch01_vi.csv"
0x28BC6,"接続なし","Chưa kết nối","Không kết nối","Đúng nghĩa trạng thái thiết bị hơn","minigame_ui_batch01_vi.csv"
0x28BFF,"ステージ","Màn chơi","Màn","Nhãn chọn stage gọn hơn","minigame_ui_batch01_vi.csv"
0x31C52,"全問クリアおめでとう！！","Chúc mừng! Bạn đã hoàn thành tất cả câu hỏi!!","Chúc mừng! Hoàn thành tất cả câu hỏi!!","Bỏ đại từ không cần thiết, đúng kiểu màn kết quả","quiz_ui_misc_vi.csv"
0x31C94,"こたえた回数            回","Số lần trả lời","Lượt trả lời","Gọn và tự nhiên hơn cho thống kê","quiz_ui_misc_vi.csv"
0x31CB5,"せいかいりつ            ％","Tỷ lệ trả lời đúng","Tỷ lệ đúng","Nhãn thống kê ngắn gọn","quiz_ui_misc_vi.csv"
0x31CD8,"一発で正解したのは      回","Số câu đúng ngay lần đầu","Đúng ngay lần đầu","Gọn, giữ nguyên ý thống kê","quiz_ui_misc_vi.csv"
0x31D14,"クイズを続けますか？","Bạn có muốn tiếp tục câu đố không?","Tiếp tục câu đố?","Câu hỏi lựa chọn UI ngắn và tự nhiên","seed_known_strings.csv"
0x1E2FF,"ルールをせつめいするよ","Giải thích luật chơi nhé!","Luật chơi đây!","Tự nhiên hơn khi mở bảng hướng dẫn","rules_tutorial_vi.csv"
0x1E326,"・２本先取だよ / ・ゲームの時間は勝つまでだよ","・Ai thắng trước 2 ván là thắng / ・Chơi cho tới khi phân thắng bại nhé","・Thắng trước 2 ván / ・Chơi đến khi có người thắng","Bỏ lặp từ và bớt sắc thái trang trọng","rules_tutorial_vi.csv"
0x2CBCC,"はねはねリング","Vòng tròn bật nảy","Vòng bật nảy","Tên màn gọn và có nhịp hơn","stage_names_batch01_vi.csv"
0x2CBEB,"よ～くねらってね","Ngắm cho thật kỹ!","Ngắm thật kỹ nhé!","Giữ giọng nhắc vui của ね","stage_names_batch01_vi.csv"
0x2CC29,"こわしてすすめ","Đập mở đường đi","Phá để mở đường!","Tự nhiên hơn cho mệnh lệnh tên màn","stage_names_batch01_vi.csv"
0x2CC48,"みつやでペンキ","Sơn ở tiệm Mitsuya","Sơn ở Mitsuya","Tên địa điểm đã đủ rõ, gọn hơn","stage_names_batch01_vi.csv"
0x2CC67,"よみせでペンキ","Sơn ở quầy hội chợ","Sơn ở hội chợ","Tự nhiên và gọn hơn","stage_names_batch01_vi.csv"
0x2CCA5,"デパートでペンキ","Sơn ở trung tâm bách hóa","Sơn ở bách hóa","Rút nhãn màn nhưng giữ nghĩa","stage_names_batch01_vi.csv"
0x2CCE3,"うきうきスクエア","Quảng trường vui nhộn","Quảng trường rộn ràng","うきうき là háo hức/rộn ràng, tự nhiên hơn","stage_names_batch01_vi.csv"
0x2CD21,"つるつるスクエア","Quảng trường trơn tuột","Quảng trường trơn trượt","Tự nhiên hơn trong tiếng Việt","stage_names_batch01_vi.csv"
0x2CD40,"くるくるサークル","Vòng tròn xoay xoay","Vòng tròn xoay vòng","Bớt lặp từ kiểu dịch sát","stage_names_batch01_vi.csv"
