file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x1C71A,"さくらさんっ 代表の座は いただきましたよ… これが 実力社会の おきてなのです / それでは私はさっそくかあさまに 電話して ダルマに目を入れます ので これにて失礼いたします","Sakura-san! Suất đại diện thuộc về tôi rồi... Đây là quy luật của xã hội coi trọng thực lực. Giờ tôi phải gọi ngay cho mẹ và vẽ nốt mắt cho búp bê Daruma, xin phép!","Sakura-san! Suất đại diện là của tôi rồi... Đây chính là quy luật của xã hội trọng thực lực. Giờ tôi phải gọi ngay cho mẹ để vẽ nốt mắt cho Daruma, xin phép!","Giữ chất Maruo trang trọng nhưng bớt văn viết nặng nề","story_batch03_part1_vi.csv"
0x1C7F8,"いまさらながら あの人って いったい…","Đến giờ mới thấy... người này rốt cuộc là sao vậy...","Nghĩ lại mới thấy... người này rốt cuộc là kiểu gì vậy...","Tự nhiên hơn trong độc thoại trẻ con","story_batch03_part1_vi.csv"
0x1CA81,"さくら ついに こんど勝てば 南の島に 行けるらしいよ","Sakura, nghe nói lần này thắng là được đi đảo phương Nam đấy.","Sakura, nghe nói chỉ cần thắng lần này là được đi đảo phương Nam đấy.","Làm rõ điều kiện mà không tăng sắc thái thi đấu","story_batch03_part1_vi.csv"
0x1CACB,"へぇ さくらの あつい思いの たまものだね","Ồ, đúng là thành quả của quyết tâm cháy bỏng của Sakura nhỉ.","Ồ, đúng là nhờ quyết tâm cháy bỏng của Sakura nhỉ.","Bớt văn viết, giữ ý 熱い思い","story_batch03_part1_vi.csv"
0x1CB63,"あつい思いっていうより 運が よかっただけなんだよ さくらは… 世の中 運しだいさ","Nói là quyết tâm chứ thật ra chỉ là may thôi. Sakura ấy mà... đời là nhờ may mắn cả.","Nói là quyết tâm chứ thật ra Sakura chỉ gặp may thôi... Đời mà, hên xui cả thôi.","Giọng bạn bè tự nhiên hơn, giữ câu châm biếm về vận may","story_batch03_part1_vi.csv"
0x1CBCB,"なるほどね 永沢くんは 運がなかったから 火事に なったんだね","Ra vậy. Nagasawa-kun vì không may nên nhà mới cháy nhỉ.","Ra vậy. Nagasawa-kun xui nên nhà mới cháy nhỉ.","Ngắn và đúng giọng trẻ con hơn; giữ nguyên dark joke của nguồn","story_batch03_part1_vi.csv"
0x1CCFE,"だから まる子は ダメまる子 そのものなんだょ…","Thế nên Maruko vẫn cứ là Maruko hậu đậu thôi...","Thế nên Maruko vẫn đúng là cô bé hậu đậu ấy thôi...","Mềm hơn và tránh lặp tên vụng","story_batch03_part1_vi.csv"
0x1CEAE,"ま まさか そうくるとは… キビシイゾ まる子…","Kh-không ngờ lại chọn món đó... khó cho ông quá, Maruko...","Kh-không ngờ cháu lại chọn món đó... khó cho ông rồi, Maruko...","Tự nhiên hơn trong thoại ông cháu","story_batch03_part1_vi.csv"
0x1CEF4,"さくらさんっっ あなたが ここまで 残っていたとは… 信じられません","Sakura-san! Không ngờ bạn còn trụ tới đây... thật khó tin.","Sakura-san! Không ngờ bạn đi được tới tận đây... thật khó tin.","Bỏ từ 'trụ' dễ gợi bối cảnh combat","story_batch03_part1_vi.csv"
0x1D27E,"ここまできて 負けるとは… なさけないよ わたしゃ…","Đến tận đây mà vẫn thua... tớ thật thảm hại...","Đến tận đây rồi mà còn thua... tớ mất mặt quá...","Giọng Maruko tự nhiên hơn, bớt nặng nề","story_batch03_part2a_vi.csv"
0x1D407,"なるほどね ボクらのように くらい わきやくは さいしょから 行けやしないんだね","Ra vậy. Mấy vai phụ u ám như tụi mình ngay từ đầu đã chẳng có cửa đi rồi.","Ra vậy. Mấy vai phụ âm u như tụi mình thì ngay từ đầu đã chẳng có cửa được đi nhỉ.","Giữ trò đùa meta nhưng làm nhịp câu tự nhiên hơn","story_batch03_part2a_vi.csv"
0x1D4B4,"おめでとう ベイビー だいじな じかんを たいせつにして くれたまえ","Chúc mừng, baby. Hãy trân trọng quãng thời gian quý giá nhé.","Chúc mừng, baby. Hãy tận hưởng thật trọn vẹn quãng thời gian quý giá này nhé.","Giữ chất Hanawa và làm lời chúc ấm hơn","story_batch03_part2a_vi.csv"
