file_offset,source_jp_scanner,byte_length,vi_full,status,notes
0x1D27E,  「ここまできて  負けるとは…｛    なさけないよ  わたしゃ…」｛,64,Đến tận đây mà vẫn thua... tớ thật thảm hại...,translated_meaning_batch03,
0x1D2CB,  ズバリっっ！！                  ｛  あなたは  つめが                ｛  あまいでしょう！！              ｛,108,Nói thẳng ra!! Bạn vẫn còn quá chủ quan!,translated_meaning_batch03,
0x1D33F,  「トホホ…」                    ｛,36,Hic...,translated_meaning_batch03,
0x1D3AD,  けっきょく  しゅやくが｛  行けるように  なっているのさ｛  マンガだからね｛  ▼,80,Cuối cùng thì nhân vật chính vẫn là người được đi thôi. Vì đây là manga mà.,translated_meaning_batch03,
0x1D407,  なるほどね  ボクらのように｛  くらい  わきやくは  さいしょから｛  行けやしないんだね｛,88,Ra vậy. Mấy vai phụ u ám như tụi mình ngay từ đầu đã chẳng có cửa đi rồi.,translated_meaning_batch03,
0x1D46A,汀  まるちゃん  おめでとう          ｛  やったネ！｛  ▼,56,"Maru-chan, chúc mừng! Tuyệt quá!",translated_meaning_batch03,leading scanner artifact; visible JP translated; runtime pending
0x1D4B4,  おめでとう  ベイビー            ｛  だいじな  じかんを              ｛  たいせつにして  くれたまえ      ｛  ▼,112,"Chúc mừng, baby. Hãy trân trọng quãng thời gian quý giá nhé.",translated_meaning_batch03,
0x1D536,  さくらさんっ                    ｛  おめでとうございます            ｛  ▼  あなたに権利をゆずったのですから｛  次回の選挙では  私に入れるのが  ｛  ズバリ  あなたの義務でしょう！  ｛  ▼,188,"Sakura-san, xin chúc mừng. Vì tôi đã nhường quyền cho bạn, kỳ bầu cử tới bỏ phiếu cho tôi là nghĩa vụ của bạn, nói thẳng ra là vậy!",translated_meaning_batch03,
0x1D5FC,  「そして  さくら家では…」｛,30,Và ở nhà Sakura...,translated_meaning_batch03,
0x1D624,  よくやったね｛  でも  気をつけて  行くのよ｛  ▼,50,Con làm tốt lắm. Nhưng đi nhớ cẩn thận nhé.,translated_meaning_batch03,
0x1D660,  なまみずは  のんだら  だめじゃよ｛,36,Đừng uống nước lã đấy.,translated_meaning_batch03,
0x1D68E,  まる子も  やるわねぇー｛  私  おみやげ  なにに｛  しようかしら？｛  ▼,72,Maruko cũng giỏi ghê. Mình nên nhờ mua quà gì nhỉ?,translated_meaning_batch03,
0x1D6E0,  まる子ー  いいぞー              ｛  まる子の勝利に  カンパーイ！    ｛,72,Maruko! Giỏi lắm! Cả nhà ăn mừng chiến thắng của Maruko!,translated_meaning_batch03,
0x1D732,  まる子  ペンギンに  よろしくな  ｛  あと  カゼを  ひくんじゃないよ  ｛,72,"Maruko, nhớ gửi lời hỏi thăm mấy chú chim cánh cụt nhé. Với cả đừng để bị cảm.",translated_meaning_batch03,
0x1D77F,  「いつまで｛    かんちがいしている…」｛  ▼,46,Định hiểu lầm đến bao giờ đây...,translated_meaning_batch03,
0x1D7BA,  「おじいちゃーん」              ｛  ▼,40,Ông ơiiii!,translated_meaning_batch03,
0x1D7F1,  なんきょく  なんきょくって｛  まる子はねぇー  南のアイランド｛  パラダイスに  行くんだよ｛  ▼  わかってないんだから  もー｛,126,"Cứ Nam Cực, Nam Cực mãi! Maruko đi đảo thiên đường phương Nam cơ mà! Ông chẳng hiểu gì cả, thật tình!",translated_meaning_batch03,
0x1D874,  「なんとっ  南の島とな？｛,28,Cái gì! Đảo phương Nam sao?,translated_meaning_batch03,
0x1D895,    なんきょくじゃないとなっ！？」｛,36,Không phải Nam Cực à!?,translated_meaning_batch03,
0x1D8CA,  「わしって  わしって…」        ｛                                  ｛,72,Ông đúng là... ông đúng là...,translated_meaning_batch03,
0x1D91A,  「そして  まる子は｛    南のアイランドへ…」｛,48,Và rồi Maruko đến hòn đảo phương Nam...,translated_meaning_batch03,
