file_offset,source_jp_scanner,byte_length,vi_full,status,notes
0x1C661,櫤  ああん  いけずぅー              ｛,38,"Aaan, xấu tính quá!",translated_meaning_batch03,leading scanner artifact; visible JP translated; runtime pending
0x1C691,  わしゃ  やわらかくて｛  うまいもんが  あれば｛  それで  いいんじゃがのう…｛,78,"Ông chỉ cần có món gì mềm mềm, ngon ngon là được rồi...",translated_meaning_batch03,
0x1C6E4,  「いったい  あんたが｛    なにをした？」｛,44,Rốt cuộc ông đã làm gì đâu?,translated_meaning_batch03,
0x1C71A,  「さくらさんっ  代表の座は｛    いただきましたよ…  これが｛    実力社会の  おきてなのです」｛  ▼  「それでは私はさっそくかあさまに｛    電話して  ダルマに目を入れます｛    ので  これにて失礼いたします」｛  ▼,212,"Sakura-san! Suất đại diện thuộc về tôi rồi... Đây là quy luật của xã hội coi trọng thực lực. Giờ tôi phải gọi ngay cho mẹ và vẽ nốt mắt cho búp bê Daruma, xin phép!",translated_meaning_batch03,
0x1C7F8,  「いまさらながら  あの人って｛    いったい…」｛  ▼,54,Đến giờ mới thấy... người này rốt cuộc là sao vậy...,translated_meaning_batch03,
0x1C832,  「そんな人に負ける  わたしって｛    いったい…」                  ｛,70,Mình lại thua một người như thế... mình rốt cuộc là sao vậy...,translated_meaning_batch03,
0x1C882,  さくらさん｛  南の島に  もうすこしで｛  行けるのね｛  ▼,58,"Sakura-san, cậu sắp được đi đảo phương Nam rồi nhỉ.",translated_meaning_batch03,
0x1C8C6,  う  うん  そうなんだよ｛  ▼,30,"Ừ-ừ, đúng vậy.",translated_meaning_batch03,
0x1C8EE,  いーなー｛  ▼,16,Thích thật...,translated_meaning_batch03,
0x1C908,  じゃあ  野口さんも  でれば｛  よかったのに…｛  ▼,52,Vậy Noguchi-san cũng tham gia thì hay rồi...,translated_meaning_batch03,
0x1C946,  ううん  でも  私は  行きたくない｛  ▼,40,"Không, nhưng tớ không muốn đi.",translated_meaning_batch03,
0x1C978,  な  なんで｛  ▼,18,T-tại sao?,translated_meaning_batch03,
0x1C994,  もしかしたら｛  りゅうがくじゃなくて｛  うられるかも  しれないから…｛  ▼  じゃあ  さくらさん              ｛  がんばってね                    ｛,148,"Biết đâu không phải du học mà bị đem bán thì sao... Vậy Sakura-san, cố lên nhé.",translated_meaning_batch03,
0x1CA3C,  えっ！？｛,12,Hả!?,translated_meaning_batch03,
0x1CA4D,  「うられる…？｛    え？  それって？」｛,42,Bị bán...? Hả? Ý cậu là sao?,translated_meaning_batch03,
0x1CA81,  さくら  ついに  こんど勝てば｛  南の島に  行けるらしいよ｛  ▼,64,"Sakura, nghe nói lần này thắng là được đi đảo phương Nam đấy.",translated_meaning_batch03,
0x1CACB,  へぇ  さくらの  あつい思いの｛  たまものだね｛  ▼,52,"Ồ, đúng là thành quả của quyết tâm cháy bỏng của Sakura nhỉ.",translated_meaning_batch03,
0x1CB09,  あつい思いか…｛  いいひびきだけどね｛  ▼,44,Quyết tâm cháy bỏng à... nghe hay thật đấy.,translated_meaning_batch03,
0x1CB3F,  どういうことだい？｛  ▼,26,Ý cậu là sao?,translated_meaning_batch03,
0x1CB63,  あつい思いっていうより｛  運が  よかっただけなんだよ｛  さくらは…  世の中  運しだいさ｛  ▼,94,Nói là quyết tâm chứ thật ra chỉ là may thôi. Sakura ấy mà... đời là nhờ may mắn cả.,translated_meaning_batch03,
0x1CBCB,  なるほどね｛  永沢くんは  運がなかったから｛  火事に  なったんだね｛,70,Ra vậy. Nagasawa-kun vì không may nên nhà mới cháy nhỉ.,translated_meaning_batch03,
0x1CC16,  「火事…｛    ボクは  運がない…」｛,38,Cháy nhà... mình đúng là không may...,translated_meaning_batch03,
0x1CC46,  まる子は  やっぱり  ここまでの｛  女なんだね｛  ▼,52,Maruko cũng chỉ đến thế thôi nhỉ.,translated_meaning_batch03,
0x1CC84,  まる子や                        ｛  わしゃ  まる子が  まる子で      ｛  あってくれれば  いいんじゃよ    ｛  ▼,112,"Maruko à, ông chỉ cần cháu vẫn là Maruko là đủ rồi.",translated_meaning_batch03,
0x1CCFE,  だから  まる子は  ダメまる子    ｛  そのものなんだょ…              ｛  ▼,76,Thế nên Maruko vẫn cứ là Maruko hậu đậu thôi...,translated_meaning_batch03,
0x1CD54,  よしっ  きょうは  まる子の｛  すきなもの  食わしてやろう！！｛  なっ？｛  ▼,78,Được! Hôm nay ông sẽ cho Maruko ăn món nó thích! Nhé?,translated_meaning_batch03,
0x1CDAC,  ほんとー？｛  おじーちゃん！！｛  うれしーい｛  ▼,52,Thật hả? Ông ơi!! Vui quá!,translated_meaning_batch03,
0x1CDEA,  じーさんとして                  ｛  とうぜんのことじゃよ            ｛  で  なにが  いいんじゃ？        ｛,108,"Là ông thì phải thế chứ. Nào, cháu muốn ăn gì?",translated_meaning_batch03,
0x1CE5B,  「まる子  おすしが  いいなぁ」｛,34,Maruko muốn sushi!,translated_meaning_batch03,
0x1CE82,  「なんと！  す  すしとなっっ！！｛,36,Cái gì! Su-sushi á!!,translated_meaning_batch03,
0x1CEAE,    ま  まさか  そうくるとは…｛    キビシイゾ  まる子…」｛,60,"Kh-không ngờ lại chọn món đó... khó cho ông quá, Maruko...",translated_meaning_batch03,
