file_offset,vi_previous,vi_revised,reason,apply_to
0x18442,"Nghe ghê gớm ghê á.","Nghe ghê gớm thật đó.","Bớt lặp 'ghê' nhưng vẫn giữ giọng trẻ con","story_batch01_vi.csv"
0x1852C,"Nói cho gọn là được đi nước ngoài miễn phí chứ gì.","Nói gọn lại là được ra nước ngoài miễn phí chứ gì.","Tự nhiên hơn trong hội thoại","story_batch01_vi.csv"
0x1856B,"Ha... tớ cũng muốn đi thử ghê.","Ha... tớ cũng muốn đi quá.","Gọn và tự nhiên hơn","story_batch01_vi.csv"
0x185E9,"Tội cho Tama-chan, nhưng tâm hồn Maruko lúc này đã bay tận đâu đâu.","Tội Tama-chan thật, nhưng đầu óc Maruko lúc này đã bay tận đâu đâu rồi.","Narrator trêu nhẹ và tự nhiên hơn","story_batch01_vi.csv"
0x18708,"Mùa hè này... mình có linh cảm về một cuộc gặp gỡ thật tuyệt...","Mùa hè này... mình có linh cảm sẽ gặp một người thật tuyệt...","Bớt cấu trúc danh từ kiểu dịch Nhật","story_batch01_vi.csv"
0x18797,"Nhưng nếu Hanawa-kun với anh ấy tranh giành mình rồi cãi nhau thì... mình...","Nhưng nếu Hanawa-kun và anh ấy giành mình rồi cãi nhau thì... mình...","Câu Việt trôi chảy hơn","story_batch01_vi.csv"
0x18857,"Thật ra tớ cũng đang muốn tìm hiểu văn hóa nước ngoài.","Thật ra tớ cũng muốn tìm hiểu văn hóa nước ngoài.","Bỏ trợ từ không cần thiết","story_batch01_vi.csv"
0x18A0E,"Hey, đời này phải nhìn vào thực lực chứ.","Hey, chuyện này phải dựa vào thực lực chứ.","Sát ngữ cảnh cuộc chọn đại diện hơn","story_batch01_vi.csv"
0x18A5E,"Người thật sự xứng đáng mới nên đi, cậu không nghĩ vậy sao? Chính cậu mới nên nhường đi.","Người thật sự xứng đáng mới nên đi, cậu không thấy vậy sao? Chính cậu mới nên nhường chứ.","Giữ chất Hanawa nhưng bớt cứng","story_batch01_vi.csv"
0x18AD1,"Đúng đó! Đừng tưởng chỉ mình cậu được đi nước ngoài miễn phí. Không dễ thế đâu nha!","Đúng đó! Đừng tưởng chỉ mình cậu được ra nước ngoài miễn phí nhé. Không dễ vậy đâu!","Giọng bạn bè tự nhiên hơn","story_batch01_vi.csv"
0x18B36,"Trong đầu chỉ nghĩ tới chuyện được đi nước ngoài miễn phí mà còn nói ai.","Trong đầu chỉ nghĩ chuyện được ra nước ngoài miễn phí mà còn nói người ta.","Bớt lủng củng","story_batch01_vi.csv"
0x18C30,"Chuyện to mất rồi nhỉ...","Rắc rối to rồi nhỉ...","Đúng sắc thái tình huống hơn","story_batch01_vi.csv"
0x18CC1,"Nếu thắng, mình sẽ được làm “Tammy của hòn đảo phương Nam”... Giấc mơ của Tamae cứ thế âm thầm lớn dần.","Nếu thắng, mình sẽ thành “Tammy của hòn đảo phương Nam”... Giấc mơ của Tamae cứ thế âm thầm phình to.","Narrator dí dỏm hơn nhưng không đổi nghĩa","story_batch01_vi.csv"
0x18D90,"Hay là mang cơm hộp đi cổ vũ nhỉ.","Hay mình làm cơm hộp mang đi cổ vũ nhỉ.","Tự nhiên hơn trong thoại gia đình","story_batch01_vi.csv"
0x18DD0,"Maruko mà cũng thành học sinh trao đổi được sao?","Maruko mà cũng làm học sinh trao đổi được à?","Bớt trang trọng","story_batch01_vi.csv"
0x18F73,"Ông đi về phương Nam hơi quá xa rồi.","Ông đi về phương Nam xa quá rồi đó.","Punchline gia đình mềm hơn","story_batch01_vi.csv"
0x19013,"Có phải giải thích trắng trợn quá rồi không?","Có cần giải thích trắng trợn vậy không...","Narrator khô khan nhẹ đúng chất Maruko","story_batch01_vi.csv"
0x19776,"Nói thẳng ra!! Giờ so tài đã tới!","Nói thẳng ra!! Đến lúc so tài rồi!","Câu Maruo tự nhiên hơn","story_batch01_vi.csv"
0x19EC5,"Tớ không muốn làm đại diện tới mức phải bắt bạn bè khổ sở đâu... Làm người như thế tệ thật.","Tớ đâu muốn làm đại diện đến mức khiến bạn bè khổ sở... Làm vậy tệ quá.","Giữ ý tự trách nhưng bớt kiểu văn viết","story_batch01_vi.csv"
0x19FC0,"Baby, cậu có bị đau đâu không? Tớ lỡ mạnh tay quá rồi.","Baby, cậu có đau ở đâu không? Tớ lỡ quá tay rồi.","Hanawa tự nhiên hơn trong tiếng Việt","story_batch01_vi.csv"
