source_jp,vi_graphics_v1,batch,status,notes
どれにする？,Chọn gì đây?,G1,graphics_runtime_candidate,"Full-diacritic redraw preferred"
はじめから,Bắt đầu,G1,graphics_runtime_candidate,"Full label"
パスワード,Mật khẩu,G1,graphics_runtime_candidate,"Full label"
今からやるよ,Bắt đầu thôi!,G2,graphics_runtime_candidate,"Banner/dialogue graphic"
ルールをせつめいするよ,Luật chơi,G2,graphics_runtime_candidate,"Rules heading"
２本先取だよ,Thắng 2,G2,graphics_runtime_candidate,"Compact rule graphic"
ゲームの時間は勝つまでだよ,Đến khi thắng,G2,graphics_runtime_candidate,"Compact rule graphic"
勝ち,Thắng,G3,graphics_runtime_candidate,"Result graphic"
敗けた,Thua,G3,graphics_runtime_candidate_unverified_visible_source,"Exact retail wording/asset still requires screenshot/path confirmation"
コンティニュー,Tiếp tục,G3,graphics_runtime_candidate,"Continue action"
やめる,Thoát,G3,graphics_runtime_candidate_context_resolved,"Quit Story Mode context resolved by internal descriptor"
最終勝利,Chiến thắng cuối cùng!,G3,graphics_runtime_candidate_unverified_visible_source,"Descriptor-only identity; verify retail asset before draw"
エンディング,Kết thúc,G3,graphics_runtime_candidate_unverified_visible_source,"Descriptor-only identity; verify retail asset before draw"
