file_offset,source_jp,vi_full,status,notes
0x1DED8,"プロデューサー  樹下國昭 / 福井博幸","Nhà sản xuất  樹下國昭 / 福井博幸",translated_credits,"roles translated; personal names preserved"
0x1DF1D,"監督  神戸良治","Đạo diễn  神戸良治",translated_credits,"personal name preserved"
0x1DF42,"構成  岩崎一男 / シナリオ  大内郷子","Biên soạn  岩崎一男 / Kịch bản  大内郷子",translated_credits,"personal names preserved"
0x1DF87,"作画  寺田泰ニ / 中川 潤","Họa sĩ  寺田泰ニ / 中川 潤",translated_credits,"personal names preserved"
0x1DFCC,"作画  松田敬 / 沢 彰","Họa sĩ  松田敬 / 沢 彰",translated_credits,"personal names preserved"
0x1E00D,"作画  吉山直子","Họa sĩ  吉山直子",translated_credits,"personal name preserved"
0x1E032,"プログラム  小沢勝彦 / 柴田裕治","Lập trình  小沢勝彦 / 柴田裕治",translated_credits,"personal names preserved"
0x1E077,"プログラム  森平茂樹","Lập trình  森平茂樹",translated_credits,"personal name preserved"
0x1E09C,"音響監督  上原和彦","Đạo diễn âm thanh  上原和彦",translated_credits,"personal name preserved"
0x1E0C1,"音楽  安慶名伸行 / 音響効果  小倉 努","Âm nhạc  安慶名伸行 / Hiệu ứng âm thanh  小倉 努",translated_credits,"personal names preserved"
0x1E108,"声の出演  ＴＡＲＡＫＯ / 富山敬","Lồng tiếng  TARAKO / 富山敬",translated_credits,"TARAKO romanized as authored; other name preserved"
0x1E14F,"声の出演  渡辺菜生子 / 菊池正美","Lồng tiếng  渡辺菜生子 / 菊池正美",translated_credits,"personal names preserved"
0x1E196,"声の出演  飛田展男","Lồng tiếng  飛田展男",translated_credits,"personal name preserved"
0x1E1BB,"ビジュアルデザイン  吉本佳世","Thiết kế hình ảnh  吉本佳世",translated_credits,"personal name preserved"
0x1E1E2,"広報  早坂妙子 / 宣伝  田村重行","Quan hệ công chúng  早坂妙子 / Quảng bá  田村重行",translated_credits,"personal names preserved"
0x1E227,"協力  川原一浩","Hỗ trợ  川原一浩",translated_credits,"personal name preserved"
0x1E24C,"監修  （株）さくらプロダクション / 宮永正隆  上野千春","Giám sát  Sakura Production Co., Ltd. / 宮永正隆  上野千春",translated_credits,"company localized; personal names preserved"
0x1E297,"監修  日本アニメーション（株） / 折本全代","Giám sát  Nippon Animation Co., Ltd. / 折本全代",translated_credits,"company uses established romanized name; personal name preserved"
0x1E2D8,"制作  コナミ株式会社","Sản xuất  KONAMI",translated_credits,"company name uses established Latin brand form"
