file_offset,source_jp_scanner,byte_length,vi_full,status,notes
0x1D94F,  「南のアイランド」｛    ▼,28,Hòn đảo phương Nam,translated_meaning_batch03,
0x1D978,  はぁー                          ｛  やっぱり南の島は  いいねぇ      ｛  らくえんだよ  まさに            ｛  ▼,112,Haah... đúng là đảo phương Nam tuyệt thật. Đúng là thiên đường.,translated_meaning_batch03,
0x1D9F2,  うん                            ｛,36,Ừ.,translated_meaning_batch03,
0x1DA23,  「ちょっと  うるさいねぇ        ｛    せっかく  パラダイスきぶんを  ｛    あじわっているのにさ」        ｛  ▼,112,Hơi ồn đó nha. Tớ đang tận hưởng cảm giác thiên đường mà.,translated_meaning_batch03,
0x1DAA0,  「ん？」｛,12,Hửm?,translated_meaning_batch03,
0x1DABD,  「えっ！？」｛,16,Hả!?,translated_meaning_batch03,
0x1DADF,  ヘーイ  みんな  キミのことが    ｛  しんぱいでね｛  ▼  パパに  べっそうを  かって｛  もらって  みんなで  きたのさっ  ｛  ▼,126,"Hey, mọi người lo cho cậu nên ấy mà. Tớ nhờ papa mua một căn biệt thự, rồi cả đám cùng tới đây!",translated_meaning_batch03,
0x1DB6C,  今  あなたは  みんなが｛  来たことで  ショックが｛  かくせませんね？      ｛  ▼,82,"Bây giờ, vì mọi người tới nên bạn không giấu nổi cú sốc đúng không?",translated_meaning_batch03,
0x1DBC1,  ズバリ  図星でしょう！！        ｛,36,"Nói thẳng ra, trúng tim đen rồi chứ gì!!",translated_meaning_batch03,
0x1DBEA,  「しんぱい…                    ｛    べっそう…                    ｛,72,Lo cho mình... biệt thự...,translated_meaning_batch03,
0x1DC33,印    あは…あはは  あはあは…」    ｛  ▼,42,A ha... ha ha... ha ha...,translated_meaning_batch03,leading scanner artifact; visible JP translated; runtime pending
0x1DC60,  「あは…」                      ｛  ▼,40,A ha...,translated_meaning_batch03,
0x1DC92,  おうっ  はやく  みんなで｛  あそぼーぜ｛  ▼,46,Này! Mau cùng nhau đi chơi nào!,translated_meaning_batch03,
0x1DCCA,  わたし  まるちゃんが  いなくて｛  さびしかったの｛  ▼,56,Tớ nhớ Maru-chan lắm vì cậu không ở đây.,translated_meaning_batch03,
0x1DD0C,  オイラも  オイラも｛  あは  あは  あは｛,42,"Tớ cũng vậy, tớ cũng vậy! A ha ha ha.",translated_meaning_batch03,
0x1DD3B,  「みんな…」｛,16,Mọi người...,translated_meaning_batch03,
0x1DD50,  「そうだね｛    みんなで  あそぶのが｛    いちばん  たのしいよね」｛,70,Ừ nhỉ. Chơi cùng mọi người vẫn là vui nhất.,translated_meaning_batch03,
0x1DDA0,  「りゅうがくせいの  みなさんは  ｛    イマから  ベンキョウデース    ｛    コチラに  キテクダサーイ」    ｛,108,Các em du học sinh! Bây giờ là giờ học! Mời qua bên này!,translated_meaning_batch03,
0x1DE14,  「えっっ！！」                  ｛,36,Hả!!,translated_meaning_batch03,
0x1DE3D,  「プサディー」            ｛  「マルコー」              ｛,60,Pusadi! / Maruko!,translated_meaning_batch03,
0x1DE81,  「わたしって…」                ｛,36,Mình đúng là...,translated_meaning_batch03,
